id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;deputado_number;votes
250000601653;DEPUTADO FEDERAL;VIRGINIA MARIA BALDAN FERREIRA;5015;VIRGINIA BALDAN;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SÃO PAULO;06/05/1961;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;135500.0;6453.27;3756.5;5015.0;1185.0
250000604964;DEPUTADO FEDERAL;FERNANDO ANTONIO MARCELO;7706;PROFESSOR FERNANDO;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;CARDOSO;20/12/1976;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;;18715.670000000002;8496.8;7706.0;1544.0
250000602979;DEPUTADO ESTADUAL;AMANDA SANTOS DA SILVA;51326;AMANDA SANTOS;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;SÃO PAULO;07/10/1988;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;16024.5;8999.9;;
250000615380;DEPUTADO ESTADUAL;ANDREA VIEGAS BUENO;40800;ANDREA VIEGART;INAPTO;RENÚNCIA;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;GUARULHOS;29/03/1967;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;N;;;60001.0;15000.0;;;
250000623851;DEPUTADO ESTADUAL;RODRIGO RAMOS FIORI;19219;RODRIGO FIORI;APTO;DEFERIDO;19;PODE;PODEMOS;SAO PAULO;27/09/1980;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;20171.71;2000.0;2000.0;;
250000607002;DEPUTADO ESTADUAL;FÁBIO SILVA MOREIRA;70234;FÁBIO MOREIRA;APTO;DEFERIDO;70;AVANTE;AVANTE;TABOÃO DA SERRA;12/12/1980;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;433180.0;1101.79;;;
250000604081;DEPUTADO ESTADUAL;ITAMAR FRANCISCO MACHADO BORGES;15300;ITAMAR BORGES;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SANTA FÉ DO SUL;21/03/1966;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;INDEFERIDO COM RECURSO;2117099.78;963800.02;959883.36;;
250000629684;DEPUTADO ESTADUAL;REGINALDO APARECIDO BATISTA;90600;REGGIS;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;SAO PAULO;22/07/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;PENDENTE DE JULGAMENTO;;;;;
250000613751;DEPUTADO FEDERAL;NARA SANTANA DE OLIVEIRA;1996;NARA SANTANA;APTO;DEFERIDO;19;PODE;PODEMOS;SANTOS;15/04/1963;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;;4579.47;;1996.0;227.0
250000612184;DEPUTADO ESTADUAL;MARCOS TADEU DA COSTA PACHECO;27768;CORONEL MARCOS;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;SÃO PAULO;10/10/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MILITAR REFORMADO;N;NÃO ELEITO;DEFERIDO;443281.66;2740.0;1000.0;;
250000615295;DEPUTADO ESTADUAL;CELINA HARUMI NISHIZAWA;43100;CELINA HARUMI ;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PARAGUAÇU PAULISTA;09/02/1970;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);AMARELA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;1570098.93;63732.35;51953.89;;
250000619442;DEPUTADO ESTADUAL;ELIANA PASSARELLI;22555;ELIANA PASSARELLI;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;SÃO PAULO;23/10/1954;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;305000.0;567745.27;524505.93;;
250000608415;DEPUTADO ESTADUAL;CARLA ZIPER PEREIRA DE CARVALHO;35333;CARLA ZIPER;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;PRESIDENTE PRUDENTE;01/01/1962;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;SUPLENTE;INDEFERIDO COM RECURSO;;100.0;;;
250000619425;DEPUTADO FEDERAL;DEBORA CABRAL PAGANOTTO;2278;DEBORA CABRAL;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;DESCALVADO;25/11/1980;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;35000.0;56533.5;19656.39;2278.0;1597.0
250000612211;DEPUTADO FEDERAL;WALTER DOMARASCKI;2711;SGT DOMARASCKI BOINA NEGRA;INAPTO;INDEFERIDO;27;DC;DEMOCRACIA CRISTÃ;SÃO PAULO;11/06/1948;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;MILITAR REFORMADO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;9122.6;2338.85;2711.0;0.0
250000601992;DEPUTADO ESTADUAL;PAULO ROGERIO DENONI;30001;PAULO DENONI;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;SÃO PAULO;15/07/1966;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;676600.0;3750.0;3677.0;;
250000606940;DEPUTADO FEDERAL;LAUDO NATEL IASULAITIS;7033;CAP. LAUDO NATEL;APTO;DEFERIDO;70;AVANTE;AVANTE;SÃO PAULO;06/05/1972;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;POLICIAL MILITAR;N;NÃO ELEITO;DEFERIDO;600000.0;9992.77;1390.98;7033.0;2588.0
250000623978;DEPUTADO ESTADUAL;AILTON FRANCISCO CABRAL;13367;AILTON CABRAL;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;SERRA BRANCA;21/08/1967;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;605633.54;4169.4;2338.83;;
250000605687;DEPUTADO ESTADUAL;RAUL CHRISTIANO DE OLIVEIRA SANCHEZ;45345;RAUL CHRISTIANO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;APUCARANA;10/09/1958;MASCULINO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1067742.87;137809.0;133749.73;;
250000623858;DEPUTADO ESTADUAL;SARA REGINA FERREIRA DE MELO LUIZ;19146;SARA REGINA;APTO;DEFERIDO;19;PODE;PODEMOS;SANTO ANDRÉ;09/01/1994;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;2686.91;2000.0;;
250000618617;DEPUTADO ESTADUAL;DANIEL MATIAS DA SILVA;44144;DANIEL MATIAS;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;OSASCO;11/08/1975;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;VEREADOR;N;NÃO ELEITO;DEFERIDO;160000.0;196500.0;199694.0;;
250000623920;DEPUTADO FEDERAL;PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD;1380;PAOLLA MIGUEL;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;SÃO PAULO;22/02/1991;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;11725.2;77500.0;115040.06999999999;1380.0;10431.0
250000604067;DEPUTADO ESTADUAL;STEFÂNIA RODRIGUES SALVIATI;15011;STEFÂNIA SALVIATI;INAPTO;INDEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;PENÁPOLIS;02/08/1989;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;N;;;;2034.0700000000002;;;
250000606784;DEPUTADO ESTADUAL;JOÃO HILTON TEIXEIRA;65765;JOÃO MISTERIOSO;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;APIAÍ;29/01/1958;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;576312.4;5292.37;5000.0;;
250000611256;DEPUTADO FEDERAL;ANA LUCIA PECORARO;4347;ANA PECORARO;APTO;DEFERIDO;43;PV;PARTIDO VERDE;SÃO PAULO;27/10/1961;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ARQUITETO;N;SUPLENTE;DEFERIDO;4990000.0;;;4347.0;394.0
250000606932;DEPUTADO FEDERAL;JOSE EDILSON PACHECO SILVA;7079;EDILSON PACHECO;APTO;DEFERIDO;70;AVANTE;AVANTE;SAO LUIS;21/09/1961;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;;4851.79;;7079.0;345.0
250000615369;DEPUTADO ESTADUAL;PAULO ANDRE BERTONE FANECO;23222;PAULO ANDRE FANECO;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;BRASILIA;19/03/1981;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;1536600.0;121675.0;80900.0;;
250000606820;DEPUTADO ESTADUAL;LIOZINA DE ALMEIDA SARAIVA;65523;LIOZINA;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;VERA CRUZ;12/04/1952;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;79033.52;34403.74;30000.0;;
250000601963;DEPUTADO FEDERAL;ALEXIS JOSEPH STEVERLYNCK FONTEYNE;3000;ALEXIS;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;CAMPINAS;19/08/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;ELEITO POR MÉDIA;DEFERIDO;28802788.01;115308.32;113190.52;3000.0;45298.0
250000602007;DEPUTADO ESTADUAL;EDUARDO LIMA DE SOUZA;30005;DUDA AMASP;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;SÃO PAULO;28/01/1982;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;MOTORISTA PARTICULAR;N;SUPLENTE;DEFERIDO;26800.0;80.0;80.0;;
250000600565;DEPUTADO ESTADUAL;LUCELENE LOPES;90009;PROFA LU LOPES;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;JANDIRA;01/09/1966;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;200000.0;;;;
250000613379;DEPUTADO FEDERAL;EDGAR SOUZA DOS SANTOS;1725;EDGAR DE SOUZA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;VALENTIM GENTIL;23/10/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;N;SUPLENTE;DEFERIDO;300000.0;22649.14;19200.77;1725.0;6184.0
250000629691;DEPUTADO ESTADUAL;MARCELO COLUSSO ;44140;MARCELO COLUSSO;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;SÃO PAULO;14/02/1973;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;;
250000611333;DEPUTADO FEDERAL;VANDIR NATAL CASAGRANDE;4319;VANDIR;APTO;DEFERIDO;43;PV;PARTIDO VERDE;BIRIGUI;02/01/1949;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;SUPLENTE;DEFERIDO;1665519.72;19764.7;19264.7;4319.0;1458.0
250000607084;DEPUTADO ESTADUAL;SANDRA DE OLIVEIRA SILVA;70192;SANDRA OLIVEIRA;APTO;DEFERIDO;70;AVANTE;AVANTE;LIMEIRA;16/11/1975;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;1194.4299999999998;;;
250000604902;DEPUTADO FEDERAL;NANCI SANTANA MACHADO;7790;VOVÓ NANCI;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;EMBU DAS ARTES;21/08/1954;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;28039.660000000003;24102.0;7790.0;256.0
250000600449;DEPUTADO FEDERAL;MARCELO FERREIRA DOS SANTOS;9081;MARCELO FERREIRA;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;SÃO PAULO;27/07/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;1690.0;1690.0;9081.0;1688.0
250000617711;DEPUTADO FEDERAL;LUIZ TADEU CORREIA DA SILVA;1853;LUIZ CEBOLA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;SÃO PAULO;28/07/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;N;NÃO ELEITO;DEFERIDO;471916.08;1973.84;768.24;1853.0;536.0
250000603042;DEPUTADO ESTADUAL;SÉRGIO GUERRA;51007;SÉRGIO GUERRA;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;SÃO PAULO;15/05/1959;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;JORNALISTA E REDATOR;N;SUPLENTE;DEFERIDO;71500.0;1770.5;;;
