id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;cargo_disputado;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;deputado_number;votes
50000609223;DEPUTADO FEDERAL;ALDINEIA BARRETTO FONTES;5477;NÉIA BARRETO;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;SALVADOR;02/01/1977;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;;;5477.0;111.0
50000608075;DEPUTADO FEDERAL;LUCIANO DE SOUSA SANTOS;1533;LUCIANO SOUSA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;MARAGOJIPE;22/10/1977;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;3700000.0;;;1533.0;499.0
50000610866;DEPUTADO FEDERAL;ROBERTO DIAS DA SILVA;1207;ROBERTO DIAS;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;VITORIA DA CONSQUISTA;25/02/1965;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PUBLICITÁRIO;N;SUPLENTE;DEFERIDO;28000.0;20000.0;20000.0;1207.0;831.0
50000603964;DEPUTADO ESTADUAL;TIAGO MANOEL DIAS FERREIRA;65777;TIAGO DIAS;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;JACOBINA;16/09/1983;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;TRABALHADOR RURAL;N;SUPLENTE;DEFERIDO;29500.0;11481.460000000001;8784.119999999999;;
50000607982;DEPUTADO ESTADUAL;JACKSON DOS SANTOS JOSUÉ;13000;JACKSON;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;POJUCA;03/07/1976;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;VEREADOR;N;SUPLENTE;DEFERIDO;220000.0;41795.13;37566.2;;
50000608085;DEPUTADO FEDERAL;PEDRO ARNALDO ANDRADE MARTINS;1522;PEDRO ARNALDO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ITABUNA;28/06/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ADMINISTRADOR;N;NÃO ELEITO;DEFERIDO;;;;1522.0;539.0
50000608601;DEPUTADO ESTADUAL;JURAILTON DE SOUSA SANTOS;10123;JURAILTON SANTOS;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;VERA CRUZ;27/08/1975;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;OUTROS;N;ELEITO POR QP;DEFERIDO;10000.0;362149.0;223263.2;;
50000622660;DEPUTADO ESTADUAL;MIRIAM SILVA CAMPOS;36110;MIRIAM CAMPOS;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;TOBIAS BARRETO;05/01/1968;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;;2753.63;1760.0;;
50000609214;DEPUTADO FEDERAL;HEBER DE SOUSA SANTANA;2020;HEBER SANTANA;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;SALVADOR;25/06/1983;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;DEPUTADO;N;SUPLENTE;DEFERIDO;773410.97;545078.87;519027.57;2020.0;52583.0
50000623173;SENADOR;FRANCISCO JOSÉ DOS SANTOS;188;FRANCISCO JOSÉ;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;SALVADOR;15/03/1968;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;184500.0;;;;
50000619093;DEPUTADO ESTADUAL;HIPOLITO DE BRITO;50245;PROFESSOR HIPOLITO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;JAGUARIPE;13/08/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;210000.0;1000.0;1000.0;;
50000600885;DEPUTADO FEDERAL;EDVANIA SANTOS MOURA;5077;VANIA SANTOS;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;ALAGOINHAS;10/10/1979;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;1328.5700000000002;;5077.0;246.0
50000607790;DEPUTADO FEDERAL;ELISANGELA DOS SANTOS ARAUJO;1334;ELISANGELA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;VALENTE;29/08/1973;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;AGRICULTOR;N;SUPLENTE;DEFERIDO;;488285.0;486092.3;1334.0;64239.0
50000608196;DEPUTADO FEDERAL;JOÃO ANTONIO HOLANDA CALDAS;9090;DR. JOÃO;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;MACEIÓ;21/03/1990;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;MÉDICO;N;SUPLENTE;DEFERIDO;;288359.99;172061.3;9090.0;20965.0
50000600878;DEPUTADO ESTADUAL;ALINE ALMEIDA SANTOS;50456;ALINE ALSAN;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;VITORIA DA CONQUISTA;24/12/1990;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;;2767.2;1013.2;;
50000618935;VICE-GOVERNADOR;SILVANO ALVES DE SOUZA;29;SILVANO ALVES;APTO;DEFERIDO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;MONTES CLAROS;01/01/1975;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;;
50000608573;DEPUTADO ESTADUAL;ESMERALDINO CORREIA SANTOS;45112;ESMERALDINO CORREIA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;VITÓRIA DA CONQUISTA;09/02/1953;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;343817.14;85750.25;79250.15;;
50000622671;DEPUTADO ESTADUAL;MARCOS RODRIGUES DA COSTA;36010;PROF. RODRIGHY;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SALVADOR;13/01/1984;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;;;;;
50000627529;DEPUTADO ESTADUAL;PEDRO SANTOS BARROS;27027;PEDRO BARROS;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;ARACAJU;22/04/1966;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;2500.0;2500.0;;
50000610881;DEPUTADO FEDERAL;ACELINO FREITAS;1299;POPÓ;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SALVADOR;21/09/1975;MASCULINO;SUPERIOR INCOMPLETO;SEPARADO(A) JUDICIALMENTE;PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;2998221.0;80250.0;30011.9;1299.0;4884.0
50000622649;DEPUTADO ESTADUAL;SERGIO SOARES DE MAGALHÃES;36127;SERGIO SOARES;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CACHOEIRA;27/04/1948;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PRETA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;;100.0;;;
50000600900;DEPUTADO FEDERAL;DAMIAO DOS SANTOS;5051;PROF. DAMIAO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CATU;07/11/1965;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;88000.0;313.2;313.2;5051.0;1302.0
50000608126;DEPUTADO FEDERAL;MARCELINO JOSÉ GUIMARAES SANTANA;2700;MARCELO SANTANA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;SALVADOR;08/04/1958;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;742000.0;9950.0;9950.0;2700.0;1662.0
50000610871;DEPUTADO FEDERAL;MARIA CRISPINA DE JESUS;1268;CORAÇÃO DE MÃE;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SALVADOR;01/08/1936;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;300000.0;;;1268.0;69.0
50000608647;DEPUTADO FEDERAL;ANTONIA MAGALHÃES DA CRUZ;2522;TONHA MAGALHÃES;APTO;DEFERIDO;25;DEM;DEMOCRATAS;SÃO FELIPE;16/01/1958;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;119799.56;545013.0;522624.4;2522.0;18457.0
50000603950;DEPUTADO ESTADUAL;AGEU ALMEIDA DOS SANTOS;65145;AGEU COZINHEIRO;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;CAMAMU;15/10/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;COBRADOR DE TRANSPORTE COLETIVO;N;SUPLENTE;DEFERIDO;15500.0;13933.380000000001;11413.2;;
50000600935;DEPUTADO ESTADUAL;NILTON CESAR DOS SANTOS;50987;NILTON DA RESISTENCIA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CAMAÇARI;17/04/1975;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;;1530.3;1470.3;;
50000619174;DEPUTADO FEDERAL;MARIA DAS GRAÇAS SANTOS DA SILVA;5085;GRAÇA DA CESTA;INAPTO;INDEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SERRINHA;19/12/1954;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PRETA;OUTROS;N;;;;100.0;;;
50000625041;DEPUTADO FEDERAL;JOAQUIM ALMEIDA TORQUATO JUNIOR;1244;NINO TORQUATO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;COARACI;20/04/1963;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;COMERCIANTE;N;SUPLENTE;DEFERIDO;;7078.0;4674.0;1244.0;2792.0
50000608030;DEPUTADO ESTADUAL;JOSE CARLOS GOMES FERREIRA;22123;ZÉ CARLOS DA CEBOLA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;CANSANÇÃO;28/04/1955;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;AGRICULTOR;N;SUPLENTE;DEFERIDO;12000.0;532946.67;531000.0;;
50000608120;DEPUTADO FEDERAL;VALDIMAR RODRIGUES DE JESUS;1589;SGT. VALDIMAR DE JESUS;INAPTO;INDEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;LAGEDAO;12/06/1964;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;MILITAR REFORMADO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;123000.0;23.1;23.1;1589.0;0.0
50000606386;DEPUTADO ESTADUAL;MAGNÓLIA SOARES DA LUZ;31400;MAGNÓLIA BEREGUEDÊ;INAPTO;INDEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;SALVADOR;12/03/1957;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;SERVIDOR PÚBLICO MUNICIPAL;N;;;;;;;
50000628452;DEPUTADO ESTADUAL;ADEMIR SANTOS OLIVEIRA;28999;OLIVER SANTOS;INAPTO;INDEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;SALVADOR;01/11/1978;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;COMERCIANTE;N;NÃO ELEITO;INDEFERIDO COM RECURSO;3104.0;;;;
50000608083;DEPUTADO FEDERAL;MONICA CORREA MARAPARA;1577;MÔNICA MARAPARA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SANTO ANTONIO DO ICA-AM;06/01/1984;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);INDÍGENA;OUTROS;N;NÃO ELEITO;DEFERIDO;;83000.0;80000.0;1577.0;2208.0
50000608080;DEPUTADO FEDERAL;MARUSE DANTAS XAVIER;1503;MARUSE DANTAS;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ITABUNA;11/03/1947;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;NÃO ELEITO;DEFERIDO;211371.66;80000.0;80000.0;1503.0;3743.0
50000610875;DEPUTADO FEDERAL;TEREZINHA DE JESUS NASCIMENTO;1253;TEREZINHA;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SALVADOR;05/01/1950;FEMININO;ENSINO MÉDIO COMPLETO;VIÚVO(A);PRETA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;;22650.0;9599.0;1253.0;319.0
50000622994;DEPUTADO FEDERAL;MARIA LUCIA DOS SANTOS LIMA;4456;MARIA LÚCIA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;CASTRO ALVES;28/04/1960;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;AGENTE ADMINISTRATIVO;N;SUPLENTE;DEFERIDO;;3000.0;3000.0;4456.0;454.0
50000600918;DEPUTADO ESTADUAL;DOMINGOS RIBEIRO DE SANTANA;50005;GALO CEGO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CRISOPOLIS;06/05/1951;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;215000.0;100.0;;;
50000608180;DEPUTADO FEDERAL;LUIZ CARLOS BASSUMA;7033;BASSUMA;APTO;DEFERIDO;70;AVANTE;AVANTE;CURITIBA;08/08/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;357803.0;49810.0;41900.29;7033.0;3580.0
50000607818;DEPUTADO FEDERAL;ISAAC CAVALCANTE DE CARVALHO;6555;ISAAC;APTO;INDEFERIDO COM RECURSO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PETROLANDIA;30/04/1972;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;ADMINISTRADOR;N;NÃO ELEITO;INDEFERIDO COM RECURSO;1911341.25;335091.4;500474.92;6555.0;0.0
50000627543;DEPUTADO FEDERAL;RUY LIMA ARAGÃO;1563;RUY LIMA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;CATU;20/03/1963;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;1530000.0;;;1563.0;287.0
50000622637;DEPUTADO ESTADUAL;MÁRCIO OLIVEIRA;36022;MÁRCIO DO BAÚ;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SALVADOR;17/08/1982;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;1506.95;;;
50000605165;DEPUTADO ESTADUAL;MARCO PRISCO CALDAS MACHADO;20190;SOLDADO PRISCO;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;CATU;26/05/1969;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;685512.59;203168.88;194962.87;;
50000629055;DEPUTADO ESTADUAL;ALBA VALERIA SANTOS DE OLIVEIRA;18996;ALBA DA SAÚDE;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;VITORIA DA CONQUISTA;21/09/1964;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;5000.0;2121.88;978.0;;
50000628389;DEPUTADO ESTADUAL;JAIR SANTOS BONFIM;36777;JAIR DO CEMITÉRIO DOS ANIMAIS;INAPTO;INDEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SALVADOR;07/02/1954;MASCULINO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;EMPRESÁRIO;N;;;;;;;
50000609092;DEPUTADO ESTADUAL;JULIO CESAR DE JESUS PINHO;17333;CESAR DO PÃO;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;SANTO AMARO;11/02/1971;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;COMERCIANTE;N;SUPLENTE;DEFERIDO;442147.62;15064.1;14064.1;;
50000609212;DEPUTADO FEDERAL;ROSE KATIANI OLIVEIRA DA SILVA;2044;ROSE KATIANI;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;SALVADOR;22/02/1977;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;7816.610000000001;4980.0;2044.0;85.0
50000608027;DEPUTADO ESTADUAL;VALDIR CRUZ DE JESUS;12888;VALDIR CRUZ;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SALVADOR;08/02/1983;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;142000.0;12000.0;11793.0;;
50000622650;DEPUTADO ESTADUAL;SIDNEY MENEZES SILVA;36336;SIDNEY MENEZES;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SALVADOR;09/08/1967;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;CONTADOR;N;NÃO ELEITO;DEFERIDO;;1336.5;650.0;;
50000606424;DEPUTADO ESTADUAL;JOAO EDNALDO DA SILVA;31999;INDIO DA BAHIA;INAPTO;NÃO CONHECIMENTO DO PEDIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;ARCO VERDE;09/01/1957;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);INDÍGENA;OUTROS;N;;;;;;;
50000622646;DEPUTADO ESTADUAL;ROBSON MENDES DA CRUZ;36333;ROBSON MENDES;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SALVADOR;23/03/1966;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;934.0;600.0;;
50000605179;DEPUTADO ESTADUAL;MARIVALDA SANTOS PEREIRA DE ARAUJO;54001;VALDA ACS;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;GUANAMBI;20/08/1969;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;;76920.0;75973.8;;
50000600866;SENADOR;FABIO NOGUEIRA DE OLIVEIRA;500;FABIO NOGUEIRA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CORUMBA;11/11/1978;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;DEFERIDO;;118505.0;117497.7;;
50000608616;DEPUTADO ESTADUAL;AUGUSTO SOARES DOS SANTOS;25766;AUGUSTO SANTOS;APTO;DEFERIDO;25;DEM;DEMOCRATAS;SALVADOR;11/10/1966;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;;;;
50000623175;2º SUPLENTE;JOÃO GONÇALVES DE SOUZA;188;JOÃO GONÇALVES;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;GENTIO DO OURO;27/05/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PEDAGOGO;N;NÃO ELEITO;DEFERIDO;300000.0;;;;
50000607988;DEPUTADO ESTADUAL;MARIA DEL CARMEN FIDALGO SANCHEZ PUGA;13131;MARIA DEL CARMEN;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CANIZA;24/11/1948;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;1967676.32;603277.61;550948.0;;
50000608596;DEPUTADO ESTADUAL;EDMAR REIS CONCEIÇÃO;10166;EDMAR O CRENTE;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;SALVADOR;24/08/1971;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;5000.0;19894.0;;;
50000607785;DEPUTADO FEDERAL;CARLOS MARTINS MARQUES DE SANTANA;1363;CARLOS MARTINS;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;SALVADOR;30/01/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;ECONOMISTA;N;SUPLENTE;DEFERIDO;1160423.01;230057.97;204690.77;1363.0;32666.0
50000610867;DEPUTADO FEDERAL;NIVALDO TEIXEIRA LIMA FILHO;1231;NIVALDO TEIXEIRA;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SALVADOR;24/11/1964;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PRETA;MOTORISTA PARTICULAR;N;SUPLENTE;DEFERIDO;28272.0;12974.0;2500.0;1231.0;2469.0
